Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Can be ignored
1609459200000,28923.63000000,29017.50000000,28913.12000000,28975.65000000,182.88987800,1609459499999,5300786.60064202,5614,80.02912900,2319246.59950932,0
1609459500000,28975.65000000,28979.53000000,28846.28000000,28858.94000000,214.56810400,1609459799999,6201531.66152165,4928,113.76133100,3287213.12042724,0
1609459800000,28858.94000000,28883.20000000,28690.17000000,28752.80000000,442.61958700,1609460099999,12737406.23310100,8776,199.91376400,5753595.34007488,0
1609460100000,28752.80000000,28852.48000000,28720.91000000,28820.72000000,174.83977900,1609460399999,5034870.59144695,5208,91.54259600,2635935.74058714,0
1609460400000,28822.17000000,28846.46000000,28744.09000000,28846.46000000,161.31678400,1609460699999,4645146.44731833,4630,78.11172200,2249405.94661516,0
1609460700000,28844.88000000,28875.55000000,28822.00000000,28836.63000000,144.45461600,1609460999999,4166936.21386908,4038,66.31366000,1912775.23219824,0
1609461000000,28836.63000000,28896.54000000,28836.62000000,28880.38000000,158.09205600,1609461299999,4564452.11236060,3968,106.95429200,3087824.19848396,0
1609461300000,28879.48000000,28932.13000000,28879.48000000,28897.97000000,165.59463400,1609461599999,4787654.91118073,4348,101.19564100,2925385.49082338,0
1609461600000,28897.97000000,28943.87000000,28897.96000000,28930.11000000,147.44801800,1609461899999,4264078.43393435,3918,99.81678200,2886596.81886491,0
1609461900000,28930.11000000,28968.40000000,28889.99000000,28946.32000000,154.91605400,1609462199999,4482538.58383046,4673,90.49278700,2618708.21501974,0
1609462200000,28944.93000000,28985.16000000,28937.95000000,28947.10000000,136.96944500,1609462499999,3967293.31682951,3781,85.49164100,2476544.07234148,0
1609462500000,28947.10000000,29031.34000000,28942.01000000,28995.13000000,228.10249000,1609462799999,6616135.23406540,4507,101.73589300,2950312.00793731,0
1609462800000,28995.13000000,29056.95000000,28960.35000000,29056.95000000,149.94933300,1609463099999,4349378.17725106,4511,85.99138900,2494386.75283414,0
1609463100000,29056.96000000,29138.76000000,29052.88000000,29117.20000000,379.84562100,1609463399999,11051941.37375245,7775,237.21718200,6902191.87332822,0
1609463400000,29117.19000000,29385.00000000,29115.76000000,29382.59000000,1206.04405100,1609463699999,35279473.58921200,20410,829.48840100,24266307.78936327,0
1609463700000,29384.97000000,29385.00000000,29261.59000000,29272.51000000,816.10192200,1609463999999,23931020.46910646,12899,396.11185900,11617803.01648751,0
1609464000000,29272.47000000,29349.85000000,29241.50000000,29331.74000000,342.04376500,1609464299999,10022530.57655909,8080,194.59276000,5702312.35206865,0
1609464300000,29331.74000000,29417.87000000,29279.23000000,29385.39000000,555.13375200,1609464599999,16298206.79374855,8604,343.87358500,10097209.05012453,0
1609464600000,29387.07000000,29450.00000000,29316.83000000,29361.77000000,505.30662400,1609464899999,14853888.45647219,9641,277.28142600,8152632.91239468,0
1609464900000,29361.77000000,29470.00000000,29340.00000000,29400.01000000,494.41064600,1609465199999,14548053.38478894,8716,313.75902500,9233764.60111201,0
1609465200000,29401.66000000,29415.80000000,29312.17000000,29319.87000000,334.00505300,1609465499999,9808030.61500413,6916,128.88787100,3785053.68289095,0
1609465500000,29320.70000000,29394.23000000,29311.75000000,29389.47000000,238.19778300,1609465799999,6991133.84266073,5507,148.76149400,4366242.46399667,0
1609465800000,29389.48000000,29394.46000000,29338.96000000,29371.22000000,195.30936400,1609466099999,5735240.40768338,6020,100.48001200,2950523.93802172,0
