Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Can be ignored
1609848000000,31776.66000000,32057.13000000,31416.27000000,31460.01000000,6684.57449900,1609855199999,212464836.81496092,158673,3526.20572100,112124186.87432346,0
1609855200000,31460.11000000,32375.07000000,31111.78000000,32099.98000000,9558.70187000,1609862399999,304477198.54815219,236109,5247.29909100,167167915.80506041,0
1609862400000,32099.97000000,32790.00000000,31763.23000000,32742.73000000,8525.81733400,1609869599999,276319107.96282633,197048,4210.50880100,136470468.59978505,0
1609869600000,32742.73000000,34187.09000000,32650.03000000,33697.75000000,15306.34842400,1609876799999,511987728.95324699,309543,8471.73990800,283311260.40376272,0
1609876800000,33693.80000000,34044.13000000,33318.00000000,33699.63000000,9482.72805800,1609883999999,320055673.81287906,181769,4480.91832400,151304188.63024051,0
1609884000000,33699.63000000,34360.00000000,33650.00000000,33949.53000000,9404.08997500,1609891199999,320150698.43244240,203331,4808.80007800,163782683.26270239,0
1609891200000,33949.53000000,34107.59000000,33288.00000000,33811.28000000,9344.01127800,1609898399999,315032918.51077105,162038,3991.64106800,134614831.47673580,0
1609898400000,33811.28000000,34170.00000000,33652.00000000,34117.59000000,6435.34260100,1609905599999,218367658.82224774,139989,3298.43127100,111966667.35460609,0
1609905600000,34116.76000000,35766.58000000,34109.83000000,34978.91000000,18331.20130300,1609912799999,641038709.06997298,318347,10801.42230600,377363118.07258254,0
1609912800000,34977.27000000,35248.63000000,34350.00000000,34676.40000000,7821.76368700,1609919999999,273153397.65310335,172220,3928.21661800,137235781.23978734,0
1609920000000,34666.80000000,34950.77000000,33357.90000000,33919.50000000,10848.67216600,1609927199999,371499431.17067910,221669,4920.13615200,168551271.39251994,0
1609927200000,33919.50000000,35200.00000000,33834.61000000,34918.53000000,10214.37840100,1609934399999,353843779.87453986,216975,5100.58753500,176748045.99379126,0
1609934400000,34918.54000000,35088.00000000,34300.00000000,34550.00000000,8865.78699600,1609941599999,307447591.58545726,212696,4367.24437800,151488181.75058351,0
1609941600000,34549.99000000,34790.00000000,34052.42000000,34566.19000000,9778.52494300,1609948799999,336489226.31754793,203642,4546.33737000,156452522.03577187,0
1609948800000,34566.18000000,35076.42000000,34372.92000000,34898.52000000,9553.27973100,1609955999999,332641974.76591645,198916,4457.54906300,155301283.66910026,0
1609956000000,34898.52000000,35695.00000000,34652.60000000,34816.72000000,9323.21624900,1609963199999,329032621.74632687,206539,4590.83064700,162087322.78213387,0
1609963200000,34818.95000000,36470.00000000,34280.00000000,35874.16000000,18403.73707200,1609970399999,654501471.99020392,355164,8972.47282400,319425387.14307480,0
1609970400000,35869.97000000,36939.21000000,35700.92000000,36769.36000000,8219.28688300,1609977599999,298905467.01284788,183588,4078.04542000,148398057.31086163,0
1609977600000,36769.36000000,37287.63000000,36422.71000000,36871.47000000,10801.61870800,1609984799999,398871694.64612811,219299,5464.26594100,201869269.24266291,0
1609984800000,36871.47000000,37699.00000000,36456.00000000,37454.48000000,8860.62791800,1609991999999,328758689.65339009,178082,4351.98536000,161561141.12677415,0
1609992000000,37452.62000000,37700.80000000,37056.12000000,37347.20000000,8437.55413200,1609999199999,315337235.10173036,182349,4157.17859300,155394282.57553199,0
1609999200000,37347.20000000,37439.75000000,36710.00000000,36859.85000000,7877.62802600,1610006399999,291989931.26072871,193418,3372.46129700,125040133.15790512,0
1610006400000,36863.04000000,37500.99000000,36300.00000000,37492.69000000,9661.65580300,1610013599999,357611179.55467129,179272,4552.12771000,168650877.86309479,0
1610013600000,37492.70000000,37913.72000000,36920.00000000,37822.09000000,7552.31311500,1610020799999,281911459.99074382,167031,3827.89692500,143018248.39085835,0
1610020800000,37825.64000000,38429.00000000,37518.00000000,38161.60000000,11727.70513500,1610027999999,446425701.84017918,236545,5687.60403600,216558530.33256296,0
1610028000000,38161.60000000,38970.42000000,38062.75000000,38970.42000000,10917.99634200,1610035199999,419965164.68890842,235612,5171.92882300,199036863.60519517,0
1610035200000,38970.41000000,39775.00000000,38921.49000000,39732.92000000,12908.34601900,1610042399999,507416281.21537955,271382,6748.00455600,265341843.61631314,0
1610042400000,39732.92000000,40365.00000000,36500.00000000,39062.00000000,26460.21416300,1610049599999,1023817716.28672434,531028,12921.51991500,501173931.54941329,0
1610049600000,39061.99000000,39882.07000000,38352.88000000,39687.11000000,8897.74840100,1610056799999,348265062.51832207,196569,4370.07802800,171132819.27518828,0
1610056800000,39687.11000000,39969.00000000,38541.38000000,39432.28000000,8722.29267500,1610063999999,342199826.62646562,224099,4430.05595200,173805299.12099691,0
1610064000000,39432.48000000,39699.87000000,37800.00000000,38681.37000000,9162.56415400,1610071199999,355504525.02022659,210732,4012.59760800,155822004.21711182,0
1610071200000,38681.38000000,38692.83000000,36500.00000000,38347.10000000,14400.99405300,1610078399999,542203614.61844019,292546,6320.03651600,238091746.10005103,0
1610078400000,38347.11000000,38949.97000000,37895.00000000,37975.25000000,9510.82514500,1610085599999,366321153.25787864,170398,4034.22623300,155311560.88983723,0
1610085600000,37980.53000000,39143.80000000,37563.92000000,38930.55000000,8167.22727500,1610092799999,314677301.12915399,176722,4178.69907400,161031992.33024773,0
1610092800000,38929.56000000,39374.22000000,38222.00000000,39358.34000000,7273.54190300,1610099999999,281781891.21596367,169606,3503.54463500,135815565.42369453,0
1610100000000,39358.99000000,41500.45000000,39220.00000000,41286.67000000,19584.77132500,1610107199999,795327985.14089786,365651,10593.49931600,429987112.54964158,0
1610107200000,41286.67000000,41785.90000000,40700.00000000,41311.18000000,12921.73159300,1610114399999,534016399.61203295,263969,6181.05006300,255474764.76400968,0
1610114400000,41313.24000000,41950.00000000,39777.00000000,40829.08000000,16782.13226800,1610121599999,687610344.01437458,321196,8070.55852800,331012836.20032946,0
1610121600000,40829.07000000,41600.00000000,40359.67000000,41009.07000000,9968.26341400,1610128799999,410095650.62038399,215565,4937.98714100,203223862.76258573,0
1610128800000,41009.08000000,41153.00000000,39800.00000000,40365.09000000,10554.82024600,1610135999999,426595148.36852051,227117,5034.18231800,203505983.07496524,0
1610136000000,40365.09000000,40500.00000000,38652.00000000,40075.82000000,15769.43775500,1610143199999,623646957.57551741,333296,7438.01552800,294302989.10208690,0
1610143200000,40075.82000000,40937.77000000,39740.95000000,40582.81000000,5693.64836800,1610150399999,230662238.15797499,178834,2995.75825600,121395028.56434404,0
1610150400000,40586.96000000,40976.13000000,39710.00000000,40198.56000000,8925.99103900,1610157599999,359308089.05479809,200468,4833.47663500,194391618.81356636,0
1610157600000,40196.51000000,40561.97000000,39500.00000000,40211.59000000,4949.83332100,1610164799999,198386266.77351232,145860,2444.77689500,98036864.22378675,0
1610164800000,40209.91000000,40490.00000000,39154.48000000,39295.37000000,5001.52599800,1610171999999,199401203.46884571,150886,2319.99764400,92552090.65159545,0
1610172000000,39293.41000000,39692.00000000,38720.00000000,39638.61000000,7462.49514600,1610179199999,292762168.14493830,192778,3581.64412800,140553341.29871950,0
