,Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,28923.63,29017.5,28913.12,28975.65,182.889878,36.23455333436177,182.889878,0.19812224564096306,0.0,50.0,0.0,0.0,-29.214861934196676,1000.0,28968.756666666668,0.0,28975.65,28975.65,28975.65,0.0,0.0,0.0,0.0,28968.756666666664,29073.13666666667,28864.376666666667,0.720638453359011,0.533020374273488,0.0,0.0,28913.12,29017.5,28965.309999999998,0.36023350640969576,0.5990611228204815,0.0,0.0,0.0,0.0,28975.65,28975.65,28975.65,28975.65,0.0,0.0,0.0,0.0,0.0,0.0,-15.743785662716977,1.0,0.0,5506.178187427693,-159.68347610511216,-159.68347610511216,0.0,28965.309999999998,28965.309999999998,28965.309999999998,28965.309999999998,34393.60012919398,34254.66066139607,4.0,4.0,0.0,-1.0,-1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,59.906112282048156,59.906112282048156,-40.093887717951844,0.0,28975.65,0.0,0.0,0.0,0.0,-15.968347610511213,0.0,0.0
1,28975.65,28979.53,28846.28,28858.94,214.568104,-137.5615852376462,-31.678225999999995,-0.3461034661964499,-25042.243417840593,0.0,-3254428836.2636075,-3254428836.2636075,-30.068742771659007,1000.0,28928.894066047516,0.0,28917.295,29034.005,28800.584999999995,0.8071985986241297,0.25000000000000777,0.0,0.0,28931.836666666666,29050.65166666667,28813.021666666667,0.8213443299083132,0.19323458037003347,0.0,0.0,28846.28,29017.5,28931.89,0.5921024079188637,0.07393996028501208,0.0,-9.310199430197827,-1.8620398860395655,-7.448159544158261,28917.295,28917.295,28957.69461538462,28967.004814814816,0.0,0.0,0.0,0.011646876005935633,0.030028280526070122,-0.018381404520134488,-0.0007866923390781854,2.0437694485610414,-66.66666666666667,5564.533187427696,-161.37581676880347,-160.52964643695782,-0.8461703318456557,28931.89,28931.89,28931.89,28931.89,34393.60012919398,34254.66066139607,4.0,8.0,-4.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,5.327610150233471,7.393996028501208,33.65005415527468,-92.6060039714988,0.0,28924.572586505295,0.0,1.3642231173916621,0.27284462347833244,1.0913784939133298,-0.4027864776113832,-0.40359984717390773,-0.4027864776113832
2,28858.94,28883.2,28690.17,28752.8,442.619587,-292.9588261379716,-474.297813,-0.3487283043239684,-28176.157638746186,0.0,-5504556805.797251,-4379492821.030429,-2.492157356155242,1000.0,28848.015931903723,0.0,28862.463333333333,29044.487808122365,28680.4388585443,1.261323211999105,0.19876761501321544,0.0,0.0,28879.687777777774,29023.241111111114,28736.134444444444,0.9941474051793313,0.05804656418829862,0.0,0.0,28690.17,29017.5,28853.835,1.13410278332677,0.19133596065133254,0.0,-24.96542463129299,-6.482716835090251,-18.48270779620274,28862.463333333333,28862.463333333333,28926.172366863906,28951.1377914952,0.0,0.0,0.0,0.017528449034109127,0.0781307757295062,-0.06060232669539708,-0.0027805337409997034,3.1982283316011286,-99.99999999999476,5619.364854094361,-162.9659780087652,-161.3417569608936,-1.6242210478716004,28853.835,28853.835,28853.835,28853.835,34393.60012919398,34254.66066139607,4.0,12.0,-8.0,-1.0,29017.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-100.0,17.48246876886645,19.133596065133254,28.811234791894208,-80.86640393486674,0.0,28849.420859916023,0.0,11.096451546321402,2.4375660080469466,8.658885538274456,-0.3677889763102904,-0.3684669828986742,-0.7690940496589471
3,28752.8,28852.48,28720.91,28820.72,174.839779,-202.52904000929078,-299.458034,-0.1995522496569748,-22454.546863256688,21.00426730479721,752517.5378016899,-2919411041.507685,-1.2148986960075967,1002.3622047244096,28839.406005483754,0.0,28852.0275,29013.75740284731,28690.29759715269,1.1210990482198167,0.40321053976778626,0.0,0.0,28859.274999999998,28999.832500000004,28718.7175,0.9740889194202046,0.36284972342280003,0.0,0.0,28690.17,29017.5,28853.835,1.1345129904648876,0.3988329820059335,0.0,-31.52828853948813,-11.491831175969828,-20.036457363518302,28852.0275,28852.0275,28909.94892580792,28941.477214347407,0.0,0.0,0.0,0.044078227030839565,0.10335418337109939,-0.059275956340259825,-0.005034269511010684,4.3247204307850104,-56.26325500914726,5629.800687427694,-163.26862534163305,-161.82347405607848,-1.445151285554573,28853.835,28853.835,28853.835,28853.835,34393.60012919398,34254.66066139607,4.0,12.0,-8.0,-1.0,29010.9534,0.0,0.0,0.0,25.42761469609016,0.0,0.0,0.0,-98.71278347016641,31.143837931096023,39.88329820059335,22.13696343140927,-60.11670179940665,0.0,28837.016291774544,0.0,8.327883567060274,3.6156295198496124,4.712254047210662,0.23622047244096223,0.23594191047706659,-0.5346903348156129
4,28822.17,28846.46,28744.09,28846.46,161.316784,-41.21225600929077,-138.14124999999999,-0.035037459709841824,-18653.569594197208,33.83349810877381,544478124.4833047,-2053438750.0099378,0.557080574988609,1003.2574218858686,28835.693531441237,0.0,28850.914,28995.638176611927,28706.189823388075,1.0032554019739266,0.4846121079964931,0.0,0.0,28849.88733333333,28982.807333333338,28716.967333333334,0.9214594044284211,0.48710753335338297,0.0,0.0,28690.17,29017.5,28853.835,1.1345567769534155,0.47746922066416164,0.0,-34.25750341298044,-16.04496562337195,-18.21253778960849,28850.914,28850.914,28900.181398760546,28934.438902173526,0.0,0.0,0.0,0.06382682061807356,0.11931286803132064,-0.055486047413247086,-0.007182135668212108,5.389112213753483,-38.18484049764466,5630.914187427694,-163.30091771296406,-162.1189627874556,-1.181954925508478,28853.835,28853.835,28853.835,28853.835,34393.60012919398,34254.66066139607,4.0,12.0,-8.0,-1.0,29004.537731999997,0.0,0.0,0.0,32.43890355099424,0.0,0.0,0.0,-97.1845366833649,41.74992476677704,47.74692206641617,35.58793877738093,-52.25307793358383,0.0,28841.078459736735,0.0,5.518805573775704,3.996264730634831,1.522540843140873,0.08931074588003352,0.08927088756340851,-0.4458571248617482
5,28844.88,28875.55,28822.0,28836.63,144.454616,-106.7361145086306,-282.595866,-0.08081852341838125,-16191.629491494712,42.2425124961822,1983269956.565432,-1246097008.6948638,0.09484746445978057,1002.9155421385049,28836.681559909142,0.0,28848.533333333336,28981.076122231447,28715.990544435226,0.918887538348179,0.45509626199850856,0.0,0.0,28849.027222222223,28968.718888888892,28729.335555555557,0.8297795675721765,0.44821184060896624,0.0,0.0,28690.17,29017.5,28853.835,1.134650403948907,0.447438364952806,0.0,-36.78953781912787,-20.193880062523135,-16.595657756604737,28848.533333333336,28848.533333333336,28890.40426048969,28927.193798308817,0.0,0.0,0.0,0.08453729785295969,0.12223577295214506,-0.03769847509918538,-0.009219249831901071,6.344190606508141,-5.193315308906543,5633.294854094358,-163.36995890920596,-162.32746214108064,-1.0424967681253179,28853.835,28853.835,28853.835,28853.835,34393.60012919398,34254.66066139607,4.0,12.0,-8.0,-1.0,28998.250377359996,0.0,0.0,0.0,31.231259403210075,0.0,0.0,0.0,-95.93696299024946,40.67395390935064,44.7438364952806,44.124685587430044,-55.2561635047194,-23.207166666667035,28839.178130215692,0.0,2.5318765372665806,3.703387091961181,-1.1715105546946005,-0.034076971663066224,-0.034082779182398326,-0.47978216191871814
6,28836.63,28896.54,28836.62,28880.38,158.092056,-33.91667616416785,-124.50380999999999,-0.022935566970050995,-12890.464214138326,49.300591896398224,674844534.8829235,-925940084.7652327,0.19062638262261997,1002.9155421385049,28840.369685497466,0.0,28853.08285714286,28977.801304267017,28728.364410018705,0.8645069072283273,0.6094350654878099,0.0,0.0,28852.191904761905,28963.344761904766,28741.039047619048,0.7704985292608824,0.6267987884551885,0.0,0.0,28690.17,29017.5,28853.835,1.1344714934645814,0.5810955305043893,0.0,-34.86404297700574,-23.127912645419656,-11.736130331586082,28853.08285714286,28853.08285714286,28888.862066568196,28923.7261095452,0.0,0.0,0.0,0.09566675852283081,0.12729883229820885,-0.031632073775378036,-0.010781904743717817,7.236779164610088,24.85200093665736,5628.7453302848335,-163.23801915865693,-162.45754171502014,-0.7804774436367836,28853.835,28853.835,28853.835,28853.835,34393.60012919398,34254.66066139607,4.0,12.0,-8.0,-1.0,28992.088769812795,0.0,0.0,0.0,41.64405094299782,0.0,0.0,0.0,-94.04574206248601,43.16578199904929,58.10955305043893,50.20010387071191,-41.89044694956107,-34.94442857143076,28856.406009767907,0.0,0.6398395530422393,3.0906775841773926,-2.450838031135153,0.15171675747132074,0.15160178387354506,-0.3287933143863886
7,28879.48,28932.13,28879.48,28897.97,165.594634,-83.20191671078967,41.090824000000026,-0.050597883420093796,-10632.853667538562,55.059423645527275,1247139596.3229558,-615500130.324063,0.3407098726968543,1002.9155421385049,28846.696257112144,0.0,28858.693750000002,28979.075866586107,28738.311633413898,0.8342866633463236,0.6631315809765906,0.0,0.0,28858.56708333333,28962.407083333335,28754.727083333335,0.7196476505583037,0.6897289901129908,0.0,0.0,28690.17,29017.5,28853.835,1.134250922219935,0.6348333486084434,0.0,-31.55496248272175,-24.813322612880075,-6.7416398698416735,28858.693750000002,28858.693750000002,28890.263287096168,28921.81824957889,0.0,0.0,0.0,0.11003887172515155,0.12894420754731126,-0.01890533582215971,-0.011820020219088238,8.077888678134531,58.398423123166836,5623.134437427692,-163.07529887518922,-162.53476136004127,-0.5405375151479461,28853.835,28853.835,28853.835,28853.835,34393.60012919398,34254.66066139607,4.0,12.0,-8.0,-1.0,28986.05039441654,0.0,0.0,0.0,45.23455319793212,0.0,0.0,0.0,-92.11774149682792,46.15858229617943,63.483334860844344,55.44557480218796,-36.516665139155656,-17.87774999999965,28873.40003202241,0.0,-0.5727376107874604,2.3579945451844218,-2.9307321559718824,0.06090640081606313,0.06088786039555316,-0.2680871697442466
8,28897.97,28943.87,28897.96,28930.11,147.448018,-24.13920595016107,188.53884200000002,-0.013471866254083165,-8436.87752953021,59.18993389020403,470470956.07615495,-479753744.5240357,0.26484777297773054,1004.0309736212122,28853.055887395072,0.0,28866.628888888892,28988.680409683988,28744.577368093796,0.8456236525912785,0.7600586649701921,0.0,0.0,28865.835185185184,28963.23851851852,28768.431851851856,0.674869323603165,0.8299415564909517,0.0,0.0,28690.17,29017.5,28853.835,1.1339391283268097,0.7330217211987934,0.0,-26.03890269394833,-25.05843862909373,-0.9804640648546012,28866.628888888892,28866.628888888892,28896.393550619836,28922.432453313784,0.0,0.0,0.0,0.11939678162538526,0.1333993972199883,-0.014002615594603043,-0.01222233295629088,8.875263080085183,74.91255724140761,5615.199298538802,-162.84517363804235,-162.5692516131525,-0.2759220248898657,28853.835,28853.835,28853.835,28853.835,34393.60012919398,34254.66066139607,4.0,12.0,-8.0,-1.0,28980.132786528207,0.0,0.0,0.0,51.14892847603449,0.0,0.0,0.0,-89.8420680571988,52.326219854825084,73.30217211987934,64.96502001038755,-26.69782788012066,2.031666666662204,28896.273885101764,0.0,-2.3207400584150806,1.4222476244645215,-3.742987682879602,0.11121888492513499,0.11115708254312295,-0.15716644837993066
9,28930.11,28968.4,28889.99,28946.32,154.916054,43.52913800468457,343.454896,0.022360021862752745,-6872.867991691628,62.784982474509434,419088134.0162413,-379882424.68622714,0.2507919663558979,1004.0309736212122,28859.569076904812,95.50400000000045,28874.598000000005,28999.870338143748,28749.325661856263,0.8676992707828705,0.7862643144638104,0.0,0.0,28872.742,28968.246000000003,28777.238,0.6615512998384485,0.8852089964818074,0.0,0.0,28690.17,29017.5,28853.835,1.133626172042297,0.7825436104237317,0.0,-20.12735838429944,-24.07222258013487,3.9448641958354287,28874.598000000005,28874.598000000005,28904.074542832168,28924.201901216467,0.0,0.0,0.0,0.12891144047800834,0.14016332662802822,-0.011251886150019874,-0.012048128158805925,9.701897759024375,79.07359351413903,5607.230187427689,-162.61406317986726,-162.8948723992364,0.2808092193691323,28834.85,28853.835,28844.3425,28853.835,34393.60012919398,34254.66066139607,4.0,12.0,-8.0,-1.0,28974.333530797645,0.0,0.0,0.0,53.85564425864347,0.0,0.0,0.0,-87.58044704603168,59.9235205815305,78.25436104237316,71.67995600769895,-21.745638957626834,22.44000000000233,28917.152351581663,0.0,-3.3810246482445856,0.46159316992270005,-3.8426178181672856,0.05603158785085771,0.05601589601802459,-0.10122292338567984
