Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Can be ignored
1609459200000,28923.63000000,29017.50000000,28690.17000000,28836.63000000,1320.68874800,1609460999999,38086677.74789903,33194,629.67220200,18158171.97941198,0
1609461000000,28836.63000000,29031.34000000,28836.62000000,28995.13000000,991.12269700,1609462799999,28682152.59220105,25195,585.68703600,16945370.80347078,0
1609462800000,28995.13000000,29417.87000000,28960.35000000,29385.39000000,3449.11844400,1609464599999,100932550.97962961,62279,2087.27517600,61080210.83420632,0
1609464600000,29387.07000000,29470.00000000,29311.75000000,29409.99000000,1953.95002700,1609466399999,57425265.83842761,41617,1072.76652500,31533781.10134661,0
1609466400000,29410.00000000,29465.26000000,29201.78000000,29298.86000000,1244.62477600,1609468199999,36519996.52288238,29938,626.33023100,18376732.28183821,0
1609468200000,29298.87000000,29341.21000000,29120.03000000,29194.65000000,1139.60678400,1609469999999,33322657.15053792,27708,577.10327500,16876017.62648785,0
1609470000000,29195.25000000,29311.00000000,29150.02000000,29215.84000000,692.38814300,1609471799999,20248681.66567074,20311,374.40714400,10950206.81968481,0
1609471800000,29216.03000000,29367.00000000,29190.83000000,29278.40000000,768.95693400,1609473599999,22512095.05984572,22199,401.50852200,11755341.16339496,0
1609473600000,29278.41000000,29395.00000000,29278.40000000,29332.81000000,871.91533900,1609475399999,25579599.16925479,24623,426.40356700,12509152.21748463,0
1609475400000,29332.81000000,29373.60000000,29029.40000000,29220.31000000,1166.13146400,1609477199999,34035038.13427395,30791,576.93926700,16837229.66272191,0
1609477200000,29220.31000000,29235.28000000,29084.11000000,29161.28000000,873.50362900,1609478999999,25463346.95444114,24030,359.70261700,10486448.20589110,0
1609479000000,29161.28000000,29213.40000000,29113.80000000,29187.01000000,596.45263300,1609480799999,17401191.74991697,17770,320.14412500,9340742.08658152,0
1609480800000,29187.01000000,29270.00000000,29100.00000000,29100.00000000,663.32546700,1609482599999,19367424.20954332,22430,322.16157100,9407749.06471510,0
1609482600000,29100.00000000,29205.76000000,29077.32000000,29174.35000000,757.40082400,1609484399999,22078588.80864673,23970,376.98110500,10990573.69520663,0
1609484400000,29174.35000000,29191.98000000,28806.54000000,29018.83000000,1729.83982400,1609486199999,50133895.47990810,34653,721.01282000,20899624.76458985,0
1609486200000,29018.83000000,29100.96000000,29000.00000000,29092.83000000,650.34109400,1609487999999,18900723.61499130,18505,333.70817100,9698832.63789321,0
1609488000000,29092.84000000,29178.03000000,28872.24000000,29033.90000000,1170.22345000,1609489799999,33944123.55316449,32464,574.77011000,16674981.55009081,0
1609489800000,29033.93000000,29122.00000000,28931.32000000,29000.01000000,837.94228900,1609491599999,24330067.14545740,22548,447.29606000,12987466.17589508,0
1609491600000,29000.01000000,29236.03000000,28970.00000000,29181.07000000,1092.37616200,1609493399999,31820958.94416961,22124,640.73968400,18669802.46547883,0
1609493400000,29181.06000000,29307.73000000,29174.47000000,29202.21000000,929.67986000,1609495199999,27185553.31681639,21550,567.73789400,16602914.88676383,0
1609495200000,29202.21000000,29344.97000000,29152.88000000,29221.71000000,1114.27812600,1609496999999,32601116.56939804,24687,603.55111700,17658536.97764287,0
1609497000000,29221.70000000,29311.00000000,29200.01000000,29223.82000000,829.97771500,1609498799999,24280807.30665920,22096,410.98720200,12024490.84135565,0
