Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Can be ignored
1577836800000,7195.24000000,7196.25000000,7175.46000000,7177.02000000,511.81490100,1577840399999,3675856.57948543,7640,226.15312600,1624289.18965037,0
1577840400000,7176.47000000,7230.00000000,7175.71000000,7216.27000000,883.05260300,1577843999999,6365952.54111276,9033,570.72141900,4114804.04969093,0
1577844000000,7215.52000000,7244.87000000,7211.41000000,7242.85000000,655.15680900,1577847599999,4736719.38819138,7466,357.18026300,2582513.82508776,0
1577847600000,7242.66000000,7245.00000000,7220.00000000,7225.01000000,783.72486700,1577851199999,5667367.29300603,8337,394.81081100,2854987.35529137,0
1577851200000,7225.00000000,7230.00000000,7215.03000000,7217.27000000,467.81257800,1577854799999,3379093.84979077,5896,243.51470600,1759053.44836794,0
1577854800000,7217.26000000,7229.76000000,7216.65000000,7224.21000000,344.67059600,1577858399999,2489507.24663728,6529,194.89852500,1407859.39772595,0
1577858400000,7224.24000000,7236.27000000,7221.51000000,7225.62000000,621.46702300,1577861999999,4493048.24570801,9718,288.40033000,2085093.09034902,0
1577862000000,7225.88000000,7232.94000000,7199.11000000,7209.83000000,627.34485400,1577865599999,4528532.93295699,7848,322.89767500,2330844.43949271,0
1577865600000,7209.83000000,7210.00000000,7180.00000000,7200.64000000,915.54597400,1577869199999,6584766.36902302,8847,440.88746400,3171436.98880032,0
1577869200000,7200.29000000,7210.51000000,7188.00000000,7188.77000000,636.38610200,1577872799999,4580279.61372286,7177,287.51833300,2069473.90367405,0
1577872800000,7189.07000000,7210.00000000,7185.20000000,7202.00000000,537.76280400,1577876399999,3872434.23941144,6417,288.27848100,2075906.26940430,0
1577876400000,7202.01000000,7237.73000000,7188.61000000,7197.20000000,1076.95948100,1577879999999,7769838.36840155,11066,545.66003600,3936878.73439429,0
1577880000000,7197.20000000,7233.33000000,7196.15000000,7225.59000000,868.75358000,1577883599999,6269445.53871061,9402,504.45494500,3640707.64255483,0
1577883600000,7225.84000000,7231.89000000,7212.88000000,7221.20000000,612.18090200,1577887199999,4421321.60662347,7240,323.27064500,2334754.37112301,0
1577887200000,7221.17000000,7234.97000000,7208.17000000,7221.43000000,617.71418500,1577890799999,4461596.13740920,8130,317.52608800,2293469.15010773,0
1577890800000,7221.60000000,7255.00000000,7218.29000000,7234.19000000,1393.88879200,1577894399999,10083196.37797081,11777,941.02744100,6807778.16446788,0
1577894400000,7234.20000000,7246.42000000,7214.00000000,7245.37000000,881.93278000,1577897999999,6373549.30719837,9499,454.71804500,3286159.42922481,0
1577898000000,7244.34000000,7249.99000000,7224.92000000,7236.83000000,1069.21056700,1577901599999,7740371.19418923,9809,688.26337100,4982656.31043735,0
1577901600000,7237.02000000,7246.72000000,7225.17000000,7240.67000000,611.69330700,1577905199999,4426678.39316080,7712,322.84727600,2336417.57816526,0
1577905200000,7240.80000000,7241.00000000,7225.49000000,7229.48000000,417.74663700,1577908799999,3021175.27526242,5857,207.23190200,1498924.74940944,0
1577908800000,7229.48000000,7242.98000000,7224.68000000,7236.73000000,391.83417400,1577912399999,2834515.14512445,5465,198.75480400,1437840.00843916,0
1577912400000,7237.26000000,7242.75000000,7227.00000000,7233.17000000,285.45407800,1577915999999,2064937.49397016,5114,142.47724400,1030734.20312295,0
1577916000000,7233.32000000,7234.49000000,7186.00000000,7197.99000000,769.03041100,1577919599999,5542964.53489558,10399,356.77135100,2571743.12046796,0
1577919600000,7197.62000000,7204.17000000,7175.15000000,7200.85000000,811.25016000,1577923199999,5831304.44409966,7632,328.69125400,2363459.79288495,0
1577923200000,7200.77000000,7212.50000000,7185.46000000,7211.02000000,391.35237700,1577926799999,2817911.98887722,5470,219.08623100,1577568.03905161,0
1577926800000,7211.04000000,7211.16000000,7185.11000000,7190.99000000,402.66013900,1577930399999,2897039.58051895,5929,200.65318600,1443624.51097343,0
1577930400000,7190.99000000,7191.00000000,7155.35000000,7169.02000000,1387.37788600,1577933999999,9943525.16584881,14716,616.31999800,4417102.36345964,0
1577934000000,7169.04000000,7169.06000000,7120.37000000,7129.61000000,1557.96443000,1577937599999,11131079.15308483,15206,703.17502800,5024808.11047959,0
1577937600000,7129.25000000,7161.00000000,7116.70000000,7142.21000000,1252.44787700,1577941199999,8947150.49263407,12565,585.15616300,4180224.69166626,0
1577941200000,7142.61000000,7152.05000000,7126.93000000,7138.93000000,569.50899000,1577944799999,4066462.76858519,6580,255.59866400,1825253.73063505,0
1577944800000,7138.93000000,7149.02000000,7121.43000000,7135.97000000,687.60066500,1577948399999,4908674.72695562,7669,326.44149000,2330464.34617112,0
1577948400000,7136.04000000,7140.63000000,7105.00000000,7110.57000000,1548.40382300,1577951999999,11023285.84536549,13939,647.34540300,4608644.13367406,0
1577952000000,7110.98000000,7157.48000000,7109.11000000,7154.36000000,1114.82512800,1577955599999,7958329.31048351,11622,525.10134100,3748242.38788132,0
1577955600000,7153.57000000,7165.00000000,7135.36000000,7162.01000000,840.00132800,1577959199999,6004950.12191941,8198,503.95777600,3602819.28248269,0
1577959200000,7162.18000000,7180.00000000,7153.33000000,7161.83000000,1446.21998400,1577962799999,10364146.50181785,13126,721.57392700,5171512.34772568,0
1577962800000,7161.89000000,7168.67000000,7139.03000000,7139.79000000,761.15657000,1577966399999,5444262.39000687,8556,372.30049400,2662942.02870947,0
1577966400000,7139.73000000,7163.40000000,7139.03000000,7158.29000000,794.03049700,1577969999999,5679917.25953634,8754,419.73442300,3001938.64426683,0
1577970000000,7158.86000000,7163.35000000,7107.43000000,7131.15000000,1566.28069300,1577973599999,11164418.96099547,13621,587.95759100,4192179.40940987,0
1577973600000,7131.18000000,7157.10000000,7122.34000000,7135.59000000,956.30092500,1577977199999,6824754.43568179,10776,506.15111100,3612543.46888326,0
1577977200000,7135.59000000,7152.00000000,7120.00000000,7130.98000000,862.42971800,1577980799999,6152565.70967462,8782,415.47998000,2964690.74013950,0
1577980800000,7130.37000000,7146.85000000,7020.00000000,7052.32000000,3604.47415200,1577984399999,25521442.62790364,27013,1381.17523900,9779570.25234402,0
1577984400000,7052.32000000,7053.09000000,6924.74000000,6970.04000000,6183.82554000,1577987999999,43147556.90011087,45957,3059.63614100,21348749.32147337,0
1577988000000,6970.04000000,6989.68000000,6949.96000000,6974.02000000,1513.59793900,1577991599999,10548349.67576966,13965,855.75623300,5963783.67776304,0
1577991600000,6974.02000000,6995.00000000,6960.00000000,6983.27000000,1397.13060200,1577995199999,9750502.50522138,14642,689.31839800,4810485.02383321,0
1577995200000,6982.63000000,6983.22000000,6941.27000000,6948.49000000,1138.64633400,1577998799999,7926144.83997666,10215,498.33434600,3469523.01154902,0
1577998800000,6948.16000000,6985.00000000,6946.20000000,6977.73000000,665.85671500,1578002399999,4638526.40916631,8036,357.64408600,2492015.01290193,0
1578002400000,6977.55000000,6978.24000000,6963.02000000,6974.80000000,568.32402900,1578005999999,3961003.44450627,8665,283.30760900,1974540.72856368,0
1578006000000,6974.80000000,6974.80000000,6950.00000000,6965.71000000,741.06759100,1578009599999,5160340.48649947,8665,410.40648200,2857603.81402699,0
1578009600000,6965.49000000,6966.47000000,6912.88000000,6937.00000000,1106.73204300,1578013199999,7682684.25230455,11910,540.40911600,3752333.71028100,0
1578013200000,6937.00000000,6946.07000000,6878.19000000,6888.85000000,2402.58168400,1578016799999,16598356.35395670,19122,1060.03336400,7326332.05726061,0
1578016800000,6888.26000000,6966.80000000,6871.04000000,6956.88000000,2869.99355300,1578020399999,19890221.80352921,22447,1219.75262200,8450428.94435837,0
